symbol,name,ipo_year,sector,industry,summary_quote
MMM,3M Company,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
ABB,ABB Ltd,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ACN,Accenture plc,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
AAP,Advance Auto Parts Inc,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
AFL,Aflac Incorporated,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
APD,"Air Products and Chemicals, Inc.",n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
ALC,Alcon Inc.,2019,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/alc
ARE,"Alexandria Real Estate Equities, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ALL,Allstate Corporation (The),n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALLY,Ally Financial Inc.,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
MO,Altria Group,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
AMCR,Amcor plc,2019,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AMOV,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AEP,"American Electric Power Company, Inc.",n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AXP,American Express Company,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AIG,"American International Group, Inc.",n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AMT,American Tower Corporation (REIT),n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AWK,American Water Works,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
APH,Amphenol Corporation,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AME,"AMTEK, Inc.",n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
BUD,Anheuser-Busch Inbev SA,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
NLY,Annaly Capital Management Inc,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
ANTM,"Anthem, Inc.",n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
AON,Aon plc,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APO,"Apollo Global Management, Inc",2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APTV,Aptiv PLC,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
ARMK,Aramark,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
MT,ArcelorMittal,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mt
ADM,Archer-Daniels-Midland Company,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
ARNC,Arconic Inc.,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
ANET,"Arista Networks, Inc.",2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet
AJG,Arthur J. Gallagher & Co.,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg
AZN,Astrazeneca PLC,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/azn
T,AT&T Inc.,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/t
ATO,Atmos Energy Corporation,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/ato
ATHM,Autohome Inc.,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/athm
AZO,"AutoZone, Inc.",n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/azo
AVB,"AvalonBay Communities, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/avb
AGR,"Avangrid, Inc.",2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr
EQH,"AXA Equitable Holdings, Inc.",2018,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/eqh
BHGE,"Baker Hughes, a GE company",2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/bhge
BLL,Ball Corporation,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/bll
BBVA,Banco Bilbao Viscaya Argentaria S.A.,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bbva
BBD,Banco Bradesco Sa,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bbd
